date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:44	36907/36907	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2009:37:07%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html	(from )
17:37:45	999/999	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2009:37:08%20GMT	https://p.w3layouts.com/robots.txt		(from )
17:37:45	146020/146020	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/bootstrap.css	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:46	56098/56098	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/style.css	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/style.css	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:46	4819/4819	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/zoomslider.css	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/zoomslider.css	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:46	3352/3352	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/cm-overlay.css	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/cm-overlay.css	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:47	85659/85659	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/js/jquery-2.2.3.min.js	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/js/jquery-2.2.3.min.js	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:47	3689/3689	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/js/numscroller-1.0.js	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/js/numscroller-1.0.js	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:48	69707/69707	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/js/bootstrap.js	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/js/bootstrap.js	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:48	37414/37414	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/font-awesome.css	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/css/font-awesome.css	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:50	39363/39363	---MCZ	200	added ('OK')	application/javascript	etag:W/%220d6d42588db1de58ff2d6e6f9cc4742f%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/last/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:52	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/last/www.google-analytics.com/analytics.js	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:54	9873/9873	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Mar%202018%2012:17:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/images/logo.png	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/images/logo.png	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:55	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/last/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:55	35734/35734	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2009:37:18%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/about.html	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/about.html	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:56	26575/26575	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2009:37:19%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/services.html	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/services.html	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
17:37:56	18576/18576	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2009:37:19%20GMT	https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/gallery.html	C:/My%20Web%20Sites/last/p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/gallery.html	(from https://p.w3layouts.com/demos_new/template_demo/07-03-2018/beverages-demo_Free/883271017/web/index.html)
